Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
liputan6,https://www.liputan6.com/lifestyle/read/3954699/gaya-macho-ridwan-kamil-kendarai-motor-klasik-mewah-sambil-dipeluk-istri,0,0.82,0.66,0.87,1
liputan6,https://www.liputan6.com/regional/read/4181120/dampak-banjir-dan-longsor-akses-ke-geopark-ciletuh-terganggu?source=search,0.66,0.89,0.48,0.81,1
liputan6,https://www.liputan6.com/news/read/4105355/geopark-ciletuh-izu-peninsula-geopark-jalin-kerjasama-tingkatkan-ekonomi-dan-pariwisata?source=search,0.66,0.81,0.66,0.87,1
liputan6,https://www.liputan6.com/regional/read/4181120/dampak-banjir-dan-longsor-akses-ke-geopark-ciletuh-terganggu?source=search,0.66,0.89,0.48,0.81,1
liputan6,https://www.liputan6.com/news/read/4105355/geopark-ciletuh-izu-peninsula-geopark-jalin-kerjasama-tingkatkan-ekonomi-dan-pariwisata?source=search,0.66,0.81,0.66,0.87,1
liputan6,https://www.liputan6.com/lifestyle/read/3795375/geopark-ciletuh-pelabuhanratu-pesona-alam-indonesia-yang-wajib-dikunjungi?source=search,0.77,0.89,0.72,0.83,1
liputan6,https://www.liputan6.com/regional/read/3730388/geopark-ciletuh-wisata-baru-terpopuler-yang-memancing-rasa-penasaran?source=search,0.7,0.87,0.75,0.91,1
liputan6,https://www.liputan6.com/lifestyle/read/3667049/rekor-dunia-tercipta-di-pembukaan-festival-geopark-ciletuh-2018?source=search,0.66,0.75,0,0.58,1
liputan6,https://www.liputan6.com/lifestyle/read/3666503/upacara-adat-syukur-bumi-awali-festival-geopark-ciletuh?source=search,0.72,0.81,0,0,1
liputan6,https://www.liputan6.com/lifestyle/read/3624696/top-3-lifestyle-keindahan-curug-awang-di-geopark-ciletuh?source=search,0.66,0.85,0,0,1
liputan6,https://www.liputan6.com/lifestyle/read/3623700/menyambangi-curug-awang-air-terjun-hits-di-geopark-ciletuh?source=search,0.66,0.81,0.66,0.87,1
liputan6,https://www.liputan6.com/regional/read/3550022/tantangan-pertahankan-ciletuh-pelabuhanratu-sebagai-geopark-dunia?source=search,0.72,0.76,0.71,0.91,1
liputan6,https://www.liputan6.com/lifestyle/read/3459804/geopark-ciletuh-resmi-bertitel-unesco-global-geopark?source=search,0.66,0.85,0.72,0.83,1
liputan6,https://www.liputan6.com/regional/read/3458679/ciletuh-masuk-bagian-geopark-dunia-unesco?source=search,0.66,0.8,0.71,0.91,1
liputan6,https://www.liputan6.com/bisnis/read/3326907/kembangkan-geopark-ciletuh-jabar-bakal-terbitkan-obligasi?source=search,0.66,0.81,0.66,0.83,1
liputan6,https://www.liputan6.com/otomotif/read/3235253/jajal-akses-baru-geopark-ciletuh-rider-ini-terperosok-ke-jurang?source=search,0.66,0.76,0.47,0.84,1
liputan6,https://www.liputan6.com/otomotif/read/3234224/perhatikan-hal-ini-sebelum-menjajal-akses-baru-geopark-ciletuh?source=search,0.66,0.75,0.66,0.79,1
liputan6,https://www.liputan6.com/citizen6/read/3230594/geopark-ciletuh-segera-ditetapkan-menjadi-taman-dunia?source=search,0.72,0.9,0.66,0.83,1
liputan6,https://www.liputan6.com/regional/read/3199668/longsor-kembali-terjang-akses-menuju-geopark-nasional-ciletuh?source=search,0.7,0.85,0.75,0.87,1
liputan6,https://www.liputan6.com/citizen6/read/3189494/5-air-terjun-super-cantik-ada-di-satu-kawasan-geopark-ciletuh?source=search,0.73,0.96,0.66,0.83,1
liputan6,https://www.liputan6.com/lifestyle/read/3128908/menpar-promosikan-geopark-ciletuh?source=search,0.66,0.92,0.66,0.83,1
liputan6,https://www.liputan6.com/regional/read/3084992/kebakaran-hutan-lindung-tak-pengaruhi-penilaian-geopark-ciletuh?source=search,0.66,0.82,0.71,0.95,1
liputan6,https://www.liputan6.com/regional/read/3083227/kebakaran-landa-hutan-lindung-geopark-ciletuh-terancam?source=search,0.66,0.84,0.75,0.95,1
liputan6,https://www.liputan6.com/regional/read/3050393/bandara-dan-jalan-bakal-permudah-akses-menuju-geopark-ciletuh?source=search,0.66,0.88,0.75,0.91,1
liputan6,https://www.liputan6.com/lifestyle/read/3042768/agustus-ini-status-geopark-ciletuh-akan-naik-level?source=search,0.66,0.92,0.66,0.91,1
liputan6,https://www.liputan6.com/lifestyle/read/2866256/setahun-jadi-geopark-apa-kabar-ciletuh?source=search,0.66,0.89,0.72,0.83,1
liputan6,https://www.liputan6.com/regional/read/4064770/pagi-yang-menawan-di-curug-awang,0,0.85,0.66,0.87,1
liputan6,https://www.liputan6.com/news/read/3926187/antam-kembangkan-taman-buah-nusantara-di-bogor,0.27,0.84,0,0,1
liputan6,https://www.liputan6.com/lifestyle/read/4073500/natuna-siap-ajukan-diri-jadi-unesco-global-geopark,0.53,0.69,0.62,0.87,1
liputan6,https://www.liputan6.com/lifestyle/read/3913153/menteri-pariwisata-siap-daftarkan-2-geopark-lain-di-unesco,0.53,0.75,0.53,0.79,1
liputan6,https://www.liputan6.com/news/read/4109459/bappenas-optimis-geopark-banyuwangi-masuk-unesco-global-geopark,0.53,0.58,0,0.68,0
liputan6,https://www.liputan6.com/regional/read/3860964/selangkah-lagi-banyuwangi-bakal-jadi-geopark-dunia,0.53,0.75,0.69,0.75,1
liputan6,https://www.liputan6.com/bisnis/read/4081183/persiapan-natuna-ajukan-diri-jadi-unesco-global-geopark,0.53,0.58,0.53,0.88,0
liputan6,https://www.liputan6.com/health/read/4107073/bali-gravity-enduro-pacu-adrenalin-di-rock-garden-batur-unesco-global-geopark,0.53,0.6,0,0,0
liputan6,https://www.liputan6.com/news/read/4011283/pengembangan-geopark-banyuwangi-didukung-penuh-bppt,0.53,0.76,0.53,0.87,1
liputan6,https://www.liputan6.com/lifestyle/read/4015542/16-geosite-songsong-atraksi-danau-toba-berkelas-dunia,0,0.82,0,0.69,1
liputan6,https://www.liputan6.com/regional/read/4017947/geopark-bukit-penyabung-dari-kampung-menuju-wisata-internasional,0.58,0.73,0.53,0.79,1
liputan6,https://www.liputan6.com/news/read/4111798/kemenpar-gelar-fgd-penyusunan-master-plan-geopark-banyuwangi,0.53,0.71,0,0.68,1
liputan6,https://www.liputan6.com/news/read/4036916/masyarakat-wajib-tahu-gerakan-sadar-wisata-dari-kemenpar,0.22,0.84,0.58,0.84,1
mediaindonesia,https://mediaindonesia.com/read/detail/235115-lipi-berencana-bangun-pltamh-di-kawasan-geopark-ciletuh,0.73,0.8,0.53,0,1
mediaindonesia,https://mediaindonesia.com/read/detail/237541-bea-cukai-bogor-lirik-potensi-kabupaten-sukabumi,0.26,0.97,0.3,0,1
